,title,rate_meta,rate_user,genre,director,year,studio,duration
142,Reversal of Fortune,93,7.9,Biography,Barbet Schroeder,1990,Warner Bros.,1 h 51 m
143,David Byrne’s American Utopia,93,7.4,Documentary,Spike Lee,2020,Iconic Events Releasing,1 h 45 m
144,Masculine Feminine,93,8.3,Drama,Jean-Luc Godard,1966,Royal Films International,1 h 50 m
145,Shoplifters,93,8.3,Crime,Hirokazu Koreeda,2018,Magnolia Pictures,2 h 1 m
146,Shoah: Four Sisters,93,,Documentary,Claude Lanzmann,2018,Cohen Media Group,4 h 33 m
147,The 39 Steps,93,7.9,Crime,Alfred Hitchcock,1935,Gaumont British Picture Corporation of America,1 h 26 m
148,Duck Soup,93,7.6,Comedy,Leo McCarey,1933,Paramount Pictures,1 h 9 m
149,Toni Erdmann,93,7.1,Comedy,Maren Ade,2016,Sony Pictures Classics,2 h 42 m
150,The Discreet Charm of the Bourgeoisie,93,8.6,Comedy,Luis Buñuel,1972,Twentieth Century Fox,1 h 42 m
151,Uncut Gems,93,7.2,Crime,"Benny Safdie,",2019,Google Play,2 h 15 m
152,McCabe & Mrs. Miller,93,7.4,Drama,Robert Altman,1971,Warner Bros.,2 h
153,Inside Llewyn Davis,93,7.8,Drama,"Ethan Coen,",2013,CBS Films,1 h 44 m
154,The Best Years of Our Lives,93,8.4,Drama,William Wyler,1946,RKO Radio Pictures,2 h 50 m
155,Band of Outsiders,93,7.4,Comedy,Jean-Luc Godard,1966,Pathé Contemporary Films,1 h 35 m
156,Stagecoach,93,7.5,Adventure,John Ford,1939,United Artists,1 h 36 m
157,Our Body,93,,Documentary,Claire Simon,2023,2 h 48 m,
158,Days of Being Wild (re-release),93,8.1,Crime,Kar-Wai Wong,2004,Rim,1 h 40 m
159,Sherpa,93,7.7,Documentary,Jennifer Peedom,2015,Footprint Films,1 h 36 m
160,There Will Be Blood,93,8.7,Drama,Paul Thomas Anderson,2007,Paramount Vantage,2 h 38 m
161,The Last Picture Show,93,8.1,Drama,Peter Bogdanovich,1971,Columbia Pictures,1 h 58 m
162,Hard to Be a God,93,9,Drama,Aleksey German,2015,Kino Lorber,2 h 57 m
163,Do the Right Thing,93,8.2,Comedy,Spike Lee,1989,Universal Pictures,2 h
164,Sita Sings the Blues,93,7.0,Animation,Nina Paley,2009,GKIDS,1 h 22 m
165,The Decline of Western Civilization,93,6.8,Documentary,Penelope Spheeris,1981,Manson International Pictures,1 h 40 m
166,Yojimbo,93,8.2,Action,Akira Kurosawa,1961,Janus Films,1 h 50 m
167,TÁR,93,7.4,Drama,Todd Field,2022,Focus Features,2 h 38 m
168,Top Hat,93,7.3,Comedy,Mark Sandrich,1935,RKO Radio Pictures,1 h 41 m
169,Brother's Keeper,93,7.2,Documentary,"Joe Berlinger,",1992,Creative Thinking International Ltd.,1 h 44 m
170,Badlands,93,8.3,Action,Terrence Malick,1973,Warner Bros.,1 h 34 m
171,Sankofa,93,,Drama,Haile Gerima,1993,2 h 4 m,
172,Crumb,93,8.3,Documentary,Terry Zwigoff,1995,Sony Pictures Classics,1 h 59 m
173,No Bears,93,7.9,Drama,Jafar Panahi,2022,1 h 46 m,
174,8½,93,7.6,Drama,Federico Fellini,1963,Embassy Pictures,2 h 18 m
175,Spotlight,93,8.1,Biography,Tom McCarthy,2015,Open Road Films (II),2 h 9 m
